#    L    TT             EE             TE          
     2   0.114744E+04   0.531740E-01   0.333836E+01
     3   0.106512E+04   0.868470E-01   0.421050E+01
     4   0.989573E+03   0.975581E-01   0.434359E+01
     5   0.931438E+03   0.865367E-01   0.403691E+01
     6   0.889120E+03   0.639985E-01   0.352238E+01
     7   0.859560E+03   0.408106E-01   0.294476E+01
     8   0.839313E+03   0.235878E-01   0.239362E+01
     9   0.826123E+03   0.138402E-01   0.192072E+01
    10   0.818485E+03   0.974251E-02   0.154984E+01
    11   0.814887E+03   0.848175E-02   0.128814E+01
    12   0.815397E+03   0.796052E-02   0.113211E+01
    13   0.818111E+03   0.720054E-02   0.106395E+01
    14   0.821993E+03   0.630584E-02   0.106103E+01
    15   0.827371E+03   0.558062E-02   0.110167E+01
    16   0.834697E+03   0.526918E-02   0.116606E+01
    17   0.843844E+03   0.539630E-02   0.123770E+01
    18   0.853808E+03   0.573929E-02   0.130496E+01
    19   0.865392E+03   0.615346E-02   0.136563E+01
    20   0.876917E+03   0.659519E-02   0.141716E+01
    21   0.888779E+03   0.707990E-02   0.146057E+01
    22   0.901293E+03   0.772189E-02   0.149720E+01
    23   0.914221E+03   0.861268E-02   0.153098E+01
    24   0.927560E+03   0.978421E-02   0.156593E+01
    25   0.941259E+03   0.112244E-01   0.160382E+01
    26   0.955146E+03   0.128787E-01   0.164661E+01
    27   0.969447E+03   0.147308E-01   0.169199E+01
    28   0.984007E+03   0.167939E-01   0.173783E+01
    29   0.998910E+03   0.190463E-01   0.178181E+01
    30   0.101409E+04   0.214729E-01   0.182015E+01
    31   0.102936E+04   0.240807E-01   0.184974E+01
    32   0.104495E+04   0.268710E-01   0.186834E+01
    33   0.106087E+04   0.298500E-01   0.187660E+01
    34   0.107700E+04   0.330317E-01   0.187595E+01
    35   0.109330E+04   0.364079E-01   0.186496E+01
    36   0.110970E+04   0.399830E-01   0.184105E+01
    37   0.112620E+04   0.438012E-01   0.180373E+01
    38   0.114309E+04   0.479086E-01   0.175519E+01
    39   0.116036E+04   0.522910E-01   0.169744E+01
