#    L    TT             EE             TE          
     2   0.105742E+04   0.511368E-01   0.341952E+01
     3   0.996961E+03   0.846547E-01   0.425520E+01
     4   0.936867E+03   0.968337E-01   0.437762E+01
     5   0.889580E+03   0.877080E-01   0.407307E+01
     6   0.854888E+03   0.663917E-01   0.356394E+01
     7   0.830744E+03   0.433442E-01   0.299189E+01
     8   0.814553E+03   0.254538E-01   0.244434E+01
     9   0.804536E+03   0.148069E-01   0.196702E+01
    10   0.799341E+03   0.100479E-01   0.158579E+01
    11   0.797614E+03   0.852448E-02   0.131109E+01
    12   0.799543E+03   0.803101E-02   0.114424E+01
    13   0.803385E+03   0.738501E-02   0.106557E+01
    14   0.808245E+03   0.651651E-02   0.105015E+01
    15   0.814452E+03   0.572256E-02   0.107984E+01
    16   0.822436E+03   0.528920E-02   0.113891E+01
    17   0.832101E+03   0.531186E-02   0.121129E+01
    18   0.842478E+03   0.562314E-02   0.128396E+01
    19   0.854406E+03   0.604355E-02   0.134974E+01
    20   0.866221E+03   0.648029E-02   0.140201E+01
    21   0.878279E+03   0.693227E-02   0.144489E+01
    22   0.890861E+03   0.750604E-02   0.148323E+01
    23   0.903789E+03   0.828765E-02   0.151878E+01
    24   0.917132E+03   0.931341E-02   0.155288E+01
    25   0.930834E+03   0.106123E-01   0.158819E+01
    26   0.944708E+03   0.121632E-01   0.162819E+01
    27   0.958969E+03   0.139152E-01   0.167102E+01
    28   0.973454E+03   0.158459E-01   0.171489E+01
    29   0.988240E+03   0.179606E-01   0.175850E+01
    30   0.100326E+04   0.202744E-01   0.179908E+01
    31   0.101837E+04   0.227752E-01   0.183389E+01
    32   0.103381E+04   0.254387E-01   0.186009E+01
    33   0.104958E+04   0.282689E-01   0.187470E+01
    34   0.106552E+04   0.312863E-01   0.187657E+01
    35   0.108161E+04   0.345017E-01   0.186891E+01
    36   0.109778E+04   0.379292E-01   0.185361E+01
    37   0.111403E+04   0.415718E-01   0.182667E+01
    38   0.113068E+04   0.454380E-01   0.178601E+01
    39   0.114768E+04   0.495400E-01   0.173425E+01
    40   0.116478E+04   0.538970E-01   0.167496E+01
    41   0.118210E+04   0.585286E-01   0.161052E+01
    42   0.119939E+04   0.634375E-01   0.153916E+01
    43   0.121680E+04   0.686219E-01   0.145810E+01
    44   0.123419E+04   0.740649E-01   0.136548E+01
    45   0.125193E+04   0.797605E-01   0.125950E+01
    46   0.126993E+04   0.857062E-01   0.113705E+01
    47   0.128807E+04   0.919015E-01   0.999740E+00
    48   0.130626E+04   0.983536E-01   0.853015E+00
